@Atkinson,Dalian
Beasley,Andy
Thew,Lee
Kitchen,Sam
@Thompson,Simon
Horsfield,Geoffrey
Mockler,Andrew
Foreman,Darren
Cawthorn,Paul
Murray,Shaun
Hirst,Lee
White,Jason
McHugh,Michael
Robinson,Paul
Young,Stuart
Evans,Mark
Rockett,Jason
Toman,Andy
Swales,Steve
Davis,Darren
Calvert,Mark
Knowles,Darren
Charles,Steve
@Annan,Richard
Edwards,Robert
Abel,Graham
Harvey,Jim
Whalley,Gareth
Smith,Mark
Hughes,Anthony
Adebola,Dele
Gayle,Mark
Wilson,Gus
Macauley,Steve
Naylor,Tony
Lennon,Neil
Walters,Steve
Clarkson,Philip
Rowbotham,Darren
Ward,Ashley
Gardiner,Mark
Smith,Shaun
Evans,Stewart
@Howard,Andy
Bowden,John
Anders,Jason
Jones,Alex
Reeves,Alan
Milner,Andy
Flounders,Andy
Reid,Shaun
Lancaster,Dave
Whitehall,Steve
Williams,Paul
Thackeray,Andy
Beaver,Tony
Snowdon,Trevor
Butler,Paul
Stuart,Mark
Doyle,Steve
Graham,Jimmy
Matthews,Neil
Mulrain,Steve
@Crossley,Matthew
Kerr,Andrew
Vircavs,Anton
Carroll,David
Turnball,Lee
Ryan,Keith
Stapleton,Simon
Thompson,Steve
Casey,Kim
Greene,Dennis
Garner,Simon
Hutchison,Simon
Langford,Tim
Reid,Nicky
West,Mark
Horton,Duncan
Cunningham,Tony
Hyde,Paul
Cousins,Jason
Evans,Terry
Creaser,Glyn
Brown,Stephen
@0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
Belloso,Jose Javier
Nayim,Amar
Guardiola,Josep
Deschamps,Didier
Goma,Alain
Hughes,Michael
Vieri,Christian
Conte,Antonio
Melli,Alessandro
Gascoigne,Paul
Platt,David
Lehmann,Stephan
Chassot,Frederic
Marini,Stephan
Birrer,Urs
Goossens,Michael
Severeyns,Francis
N'Wosu,Christopher
van Geneugden,Ronny
Piechnik,Torben
Knoop,Abe
Drent,Martin
Nobbs,Keith
Gough,Alan
Heritage,Peter
Daschner,Reinhold
Sippel,Lothar
Buchwald,Guido
Westerthaler,Christoph
Rodax,Gerhard
Sekerlioglu,Attila
Zingler,Thomas
Gutlederer,Andreas
Kemal,Serdar
Riza,Calimbay
Ridvan,Dilmen
Levy,Amit
Dobrevski,Ivan
Nenov,Rumen
Urukov,Marius
Nachov,Georgi
Mitsanski,Emil
Radev,Dimitar
Popescu,Vintila
Badea,Pavel
Rosenblum,Calin
Panait,Aurel
Dobos,Anton
Varga,Attila
Fule,Antal
Keller,Jozsef
Simon,Tibor
Balazs,Zoltan
Kozma,Istvan
Novak,Jiri
Rusnak,Stefan
Glonek,Milos
Gorel,Stanislav
Mistr,Lumir
Matta,Rudolf
Gajdzis,Tadeusz
Furtoch,Jan
Wojcik,Artur
Kubicki,Dariusz
Dziekanowski,Jacki
Czerwiec,Ryszard
Stencel,Grzegorz
Remien,Ryszard
Nilsson,Mikael
Hallstrom,Peter
Nordin,Krister
Hellstrom,Jan
Andersson,Mikael
Nilsson,Roland
Ohlsson,Jonas
Nordfjaern,Arild
Christiansen,Kent
Camitz,Ulf
Nordeide,Trond
McLaren,Alan
Mackay,Gary
Robertson,John
Marshall,Gordon
Allan,Derek
Parks,Tony
Boyd,Tommy
McNab,Neil
Colquhoun,John
Davenport,Peter
Collins,John
Ramsey,Paul
Keeble,Matthew
Ferguson,Duncan
Stevens,Gary
Caesar,Gus
Cadette,Richard
Hunter,Paul
Coyne,Tommy
Goram,Andy
Levein,Craig
Jack,Paul
Durrant,Iain
Stewart,Sandy
Martin,John
Small,Mike
Duffield,Peter
Gough,Richard
Jess,Eoin
Steven,Trevor
Hateley,Mark
McPherson,Dave
Spooner,Steve
McIntyre,James
Bennett,Mickey
Falconer,Willie
Bullimore,Wayne
Durie,Gordon
Trotter,Michael
Butcher,Terry
Foy,David
Davidson,Jon
Hine,Mark
Ridgers,Scott
Hancox,Richard
Gallacher,John
Cooper,Mark
Tinkler,John
Gridelet,Phil
McKinnon,Ray
Johnston,Mo
Balfour,Evan
Smith,Andy
Miller,Willie
Hamilton,Brian
McGinlay,Pat
Jackson,Darren
Smith,Henry
Dadason,Rikardur
Gudmundsson,Baldvin
Petursson,Magni
Jonsson,Kristjan
Remes,Ilkka
Lipponen,Mika
Hudd,Jari
Rovio,Jyrki
Larsen,Henrik
Christiansen,Claus
Bartram,Jan
Lyng,Søren
Gothenborg,Michael
Tapei,Ernie
Gosney,Andy
Watson,John
Clarke,Tim
Godfrey,Warren
William,John
Benstead,Graham
Jones,Murray
Atteveld,Ray
Peer,Dean
Jones,Andy
Crosby,Andy
Poddubski,Aleksei
Grishin,Gennady
Borisov,Sergei
Chernyshov,Andrey
Telesnenko,Andrey
Moroz,Yury
Salenko,Oleg
Zoricichm,Chris
0
0
0
0
0
0
0
0
0
0
